ID,Class
980,Lawyeraau
981,Kolln
982,Comdet
983,Goonan
984,Walters
985,Grove
986,McKee
987,Goonan
988,Mark
989,Brown
990,Morrison
991,Calvinnme
992,Corn
993,Comdet
994,Koenig
995,Corn
996,Vernon
997,Messick
998,Lovitt
999,Hayes
1000,Mark
1001,Kolln
1002,Vernon
1003,Walters
1004,Sherwin
1005,Cutey
1006,Davisson
1007,Chandler
1008,Vision
1009,Chachra
1010,Agresti
1011,Morrison
1012,Davisson
1013,Chachra
1014,Johnson
1015,McKee
1016,Hayes
1017,Kolln
1018,Shea
1019,Corn
1020,Lawyeraau
1021,Riley
1022,Taylor
1023,Walters
1024,Mahlers2nd
1025,Lovitt
1026,CFH
1027,Walters
1028,Peterson
1029,Kolln
1030,Cholette
1031,Mitchell
1032,Dent
1033,Chandler
1034,Brown
1035,McKee
1036,Lovitt
1037,Corn
1038,McKee
1039,Dent
1040,Cutey
1041,Wilson
1042,Comdet
1043,Cutey
1044,Lawyeraau
1045,Corn
1046,Davisson
1047,Janson
1048,Morrison
1049,Riley
1050,Janson
1051,Auken
1052,Hayes
1053,Kolln
1054,Morrison
1055,Davisson
1056,Corn
1057,Brown
1058,Power
1059,Lee
1060,Sherwin
1061,Engineer
1062,Kolln
1063,Mitchell
1064,Cholette
1065,Taylor
1066,Vision
1067,Mitchell
1068,Morrison
1069,Corn
1070,Taylor
1071,Chandler
1072,Wilson
1073,Cutey
1074,Goonan
1075,Grove
1076,Walters
1077,Corn
1078,Calvinnme
1079,Chachra
1080,Auken
1081,Power
1082,Bukowsky
1083,Cutey
1084,Calvinnme
1085,Nigam
1086,Auken
1087,Power
1088,Mahlers2nd
1089,Engineer
1090,Bukowsky
1091,Vernon
1092,Cutey
1093,Chachra
1094,Grove
1095,Johnson
1096,Cutey
1097,Comdet
1098,Lee
1099,Johnson
1100,Johnson
1101,Chachra
1102,CFH
1103,Merritt
1104,McKee
1105,Mitchell
1106,Chachra
1107,Hayes
1108,Taylor
1109,Peterson
1110,Robert
1111,Davisson
1112,CFH
1113,Walters
1114,Corn
1115,Wilson
1116,Taylor
1117,Sherwin
1118,Chachra
1119,Agresti
1120,Power
1121,Peterson
1122,Chachra
1123,Neal
1124,Harp
1125,Messick
1126,Comdet
1127,Brody
1128,Brody
1129,Robert
1130,Auken
1131,Chachra
1132,Blankenship
1133,Comdet
1134,Mark
1135,Sherwin
1136,Vernon
1137,Messick
1138,Brody
1139,Lee
1140,Shea
1141,Cholette
1142,Nigam
1143,Peterson
1144,Cholette
1145,Engineer
1146,Messick
1147,Neal
1148,Messick
1149,Goonan
1150,Shea
1151,Chandler
1152,Cutey
1153,Power
1154,Calvinnme
1155,Bukowsky
1156,Davisson
1157,Janson
1158,Janson
1159,Chandler
1160,Hayes
1161,Vision
1162,Morrison
1163,Kolln
1164,Davisson
1165,Davisson
1166,Mahlers2nd
1167,Lovitt
1168,Engineer
1169,Brody
1170,Morrison
1171,Sherwin
1172,Mark
1173,Grove
1174,Morrison
1175,Agresti
1176,Messick
1177,Messick
1178,Power
1179,Dent
1180,Calvinnme
1181,Riley
1182,Janson
1183,Corn
1184,McKee
1185,Goonan
1186,Engineer
1187,Peterson
1188,Morrison
1189,Grove
1190,Dent
1191,Mark
1192,Walters
1193,Bukowsky
1194,Corn
1195,Cholette
1196,Wilson
1197,Blankenship
1198,Nigam
1199,Ashbacher
1200,Mark
1201,Lawyeraau
1202,Merritt
1203,Mahlers2nd
1204,Riley
1205,Messick
1206,Taylor
1207,Grove
1208,Kolln
1209,Calvinnme
1210,CFH
1211,Auken
1212,Bukowsky
1213,Taylor
1214,McKee
1215,Sherwin
1216,Hayes
1217,Mark
1218,Wilson
1219,Lawyeraau
1220,Lovitt
1221,Chandler
1222,Auken
1223,Wilson
1224,Lee
1225,Johnson
1226,Corn
1227,Mitchell
1228,Robert
1229,Walters
1230,Dent
1231,Auken
1232,Kolln
1233,Mitchell
1234,Bukowsky
1235,Kolln
1236,Vision
1237,Brody
1238,Cholette
1239,Janson
1240,Dent
1241,Ashbacher
1242,Lawyeraau
1243,Sherwin
1244,Neal
1245,Sherwin
1246,Walters
1247,Vernon
1248,Ashbacher
1249,Mahlers2nd
1250,Kolln
1251,Messick
1252,Chachra
1253,Riley
1254,Mahlers2nd
1255,Mark
1256,Cutey
1257,Blankenship
1258,Vernon
1259,Dent
1260,Lawyeraau
1261,Neal
1262,Bukowsky
1263,Mitchell
1264,Vernon
1265,Messick
1266,Harp
1267,Bukowsky
1268,Chachra
1269,Mitchell
1270,Walters
1271,Cutey
1272,Davisson
1273,Wilson
1274,Messick
1275,Bukowsky
1276,Bukowsky
1277,Messick
1278,Davisson
1279,Lovitt
1280,Bukowsky
1281,Neal
1282,Cholette
1283,Merritt
1284,Comdet
1285,Kolln
1286,Neal
1287,Janson
1288,Blankenship
1289,Agresti
1290,Walters
1291,Power
1292,Wilson
1293,Blankenship
1294,Comdet
1295,Brody
1296,Riley
1297,Brown
1298,Dent
1299,Riley
1300,Lovitt
1301,McKee
1302,Messick
1303,Janson
1304,Mark
1305,Wilson
1306,Calvinnme
1307,Messick
1308,Goonan
1309,Engineer
1310,Engineer
1311,Harp
1312,Vision
1313,Blankenship
1314,Janson
1315,Mitchell
1316,Harp
1317,Goonan
1318,Power
1319,Peterson
1320,Sherwin
1321,Mitchell
1322,Messick
1323,Kolln
1324,Mark
1325,Corn
1326,Robert
1327,Shea
1328,Lovitt
1329,Lovitt
1330,Comdet
1331,Janson
1332,Sherwin
1333,Morrison
1334,Peterson
1335,Wilson
1336,Dent
1337,Brown
1338,CFH
1339,Merritt
1340,Goonan
1341,Engineer
1342,Grove
1343,Goonan
1344,Lawyeraau
1345,Janson
1346,Riley
1347,Calvinnme
1348,Engineer
1349,CFH
1350,Chachra
1351,Cholette
1352,Morrison
1353,Riley
1354,Shea
1355,Vision
1356,Merritt
1357,Lawyeraau
1358,Auken
1359,Comdet
1360,Davisson
1361,Mitchell
1362,Bukowsky
1363,Brown
1364,Taylor
1365,Vernon
1366,Grove
1367,Janson
1368,Vision
1369,Auken
1370,Robert
1371,Hayes
1372,Messick
1373,Blankenship
1374,Lovitt
1375,McKee
1376,Shea
1377,Cutey
1378,CFH
1379,Koenig
1380,Taylor
1381,Vernon
1382,Morrison
1383,Davisson
1384,Cutey
1385,Lawyeraau
1386,Johnson
1387,Cutey
1388,Johnson
1389,Vision
1390,McKee
1391,Mitchell
1392,Messick
1393,Lovitt
1394,Messick
1395,Comdet
1396,Koenig
1397,Vernon
1398,Grove
1399,Kolln
1400,Johnson
1401,Bukowsky
1402,Cutey
1403,Blankenship
1404,Hayes
1405,Merritt
1406,Ashbacher
1407,Ashbacher
1408,Peterson
1409,Shea
1410,Comdet
1411,Koenig
1412,Hayes
1413,Corn
1414,Corn
1415,CFH
1416,Auken
1417,McKee
1418,Corn
1419,Chachra
1420,Neal
1421,Chachra
1422,Hayes
1423,Blankenship
1424,Neal
1425,McKee
1426,Peterson
1427,Brown
1428,CFH
1429,Kolln
1430,Cholette
1431,Taylor
1432,Dent
1433,Auken
1434,Corn
1435,Walters
1436,Goonan
1437,Engineer
1438,Riley
1439,Grove
1440,Calvinnme
1441,Chell
1442,McKee
1443,Corn
1444,CFH
1445,Lovitt
1446,Grove
1447,Lovitt
1448,McKee
1449,Peterson
1450,Nigam
1451,Morrison
1452,Robert
1453,Messick
1454,Brown
1455,Mitchell
1456,Mitchell
1457,Vernon
1458,Vernon
1459,Neal
1460,Cholette
1461,Merritt
1462,Johnson
1463,Koenig
1464,Harp
1465,McKee
1466,Harp
1467,Mitchell
1468,Janson
1469,Comdet
1470,Bukowsky
1471,Harp
1472,Sherwin
1473,Mark
1474,Riley
1475,CFH
1476,Mitchell
1477,Shea
1478,Peterson
1479,Koenig
1480,Comdet
1481,Vernon
1482,Bukowsky
1483,Merritt
1484,Taylor
1485,Kolln
1486,Shea
1487,Koenig
1488,Agresti
1489,Chandler
1490,Koenig
1491,Dent
1492,Taylor
1493,Grove
1494,Wilson
1495,Lovitt
1496,Ashbacher
1497,Cholette
1498,Auken
1499,Chachra
