ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
317,democrat,n,n,n,n,n,y,n,y,y,n,y,y,y,y,y,n
411,republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
406,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
237,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
136,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
68,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
328,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
161,democrat,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
153,democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
104,democrat,y,n,n,n,y,y,unknown,n,unknown,n,n,n,n,y,unknown,n
293,democrat,y,n,y,n,n,y,y,y,n,y,y,n,y,y,y,y
95,democrat,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,y
301,republican,n,n,n,y,y,n,y,y,y,y,n,y,y,y,n,y
224,republican,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
330,democrat,y,unknown,y,n,n,y,y,y,y,y,n,n,n,n,y,unknown
97,democrat,n,n,unknown,n,y,y,n,n,n,n,y,y,y,y,n,y
76,democrat,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
321,democrat,n,y,y,n,n,y,n,y,y,y,n,n,y,y,n,y
220,democrat,n,y,y,n,n,n,n,y,y,n,y,n,n,y,y,y
138,democrat,n,unknown,y,n,n,y,y,y,y,y,n,n,n,y,y,y
386,democrat,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
300,democrat,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
431,republican,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
390,democrat,y,n,y,n,n,n,y,y,y,unknown,y,n,n,n,y,unknown
354,republican,n,n,y,y,y,y,y,n,n,y,y,y,y,y,n,y
137,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,n,n,y
405,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
414,republican,y,y,y,y,y,y,y,y,n,y,unknown,unknown,unknown,y,n,y
171,democrat,y,n,y,n,n,n,unknown,y,y,unknown,n,n,n,n,y,unknown
51,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
394,republican,unknown,unknown,unknown,unknown,n,y,n,y,y,n,n,y,y,n,n,unknown
346,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
185,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
219,democrat,y,unknown,y,n,n,n,y,y,y,n,unknown,n,n,n,y,unknown
285,democrat,n,n,y,n,n,y,y,y,y,y,y,n,n,n,unknown,y
276,democrat,n,n,y,n,y,y,n,n,n,n,unknown,n,y,y,n,n
205,republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
212,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
167,republican,y,n,y,y,y,y,y,y,n,y,n,y,n,y,y,y
280,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
120,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
36,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
252,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
307,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
323,democrat,y,y,y,n,unknown,y,n,unknown,n,n,y,n,y,y,n,unknown
115,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
154,democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
238,democrat,y,n,y,n,n,y,y,y,n,n,n,y,y,n,n,y
111,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
62,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
298,democrat,y,y,y,n,n,y,y,y,y,y,n,n,unknown,n,y,unknown
374,democrat,n,y,y,unknown,y,y,n,y,n,y,unknown,n,y,y,unknown,y
209,democrat,n,n,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
217,democrat,y,y,y,n,y,y,n,n,unknown,y,n,n,n,y,y,unknown
157,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,n
202,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
92,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
407,democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
360,republican,n,n,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
21,democrat,y,y,y,n,n,unknown,y,y,n,n,y,n,n,n,y,y
352,republican,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
332,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
287,democrat,n,n,y,n,n,y,unknown,y,unknown,y,y,y,n,y,y,unknown
28,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
83,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
108,republican,n,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,y,unknown,unknown
132,democrat,n,n,y,n,n,y,n,y,y,y,n,n,n,y,n,y
342,democrat,n,unknown,y,unknown,n,y,y,y,y,y,y,n,unknown,unknown,y,y
218,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
9,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
44,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
145,democrat,n,unknown,n,n,n,y,y,y,y,y,n,n,n,y,n,unknown
313,democrat,y,y,y,n,n,n,y,y,y,y,n,n,n,n,y,y
302,democrat,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
395,democrat,y,y,unknown,unknown,unknown,y,n,n,n,n,y,n,y,n,n,y
65,democrat,y,y,y,n,n,n,y,y,y,n,y,unknown,n,n,n,y
434,republican,n,n,n,y,y,y,unknown,unknown,unknown,unknown,n,y,y,y,n,y
345,democrat,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
223,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
295,democrat,n,y,y,n,n,y,y,y,n,y,y,n,y,y,n,unknown
33,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
207,republican,n,n,n,y,y,y,n,n,n,y,n,y,n,y,n,y
363,democrat,y,y,y,n,n,y,y,y,y,y,y,y,y,n,n,y
367,democrat,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,unknown
99,democrat,y,y,y,n,n,y,y,y,y,y,n,n,n,n,n,y
350,republican,n,y,y,y,y,y,y,y,y,n,n,y,y,y,n,y
206,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,n,n,y
114,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
246,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
392,democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
215,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
339,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,y,y,y
198,republican,n,unknown,y,y,y,y,n,n,n,y,n,n,n,y,n,y
131,democrat,y,unknown,y,n,unknown,unknown,y,y,y,n,n,n,n,n,y,unknown
63,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,unknown
292,democrat,y,n,y,n,n,y,y,y,y,y,n,unknown,n,y,n,y
105,democrat,unknown,unknown,unknown,unknown,n,y,y,y,y,y,unknown,n,y,y,n,unknown
6,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
25,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
216,democrat,n,y,y,y,y,y,n,n,n,y,y,y,y,y,y,unknown
316,republican,n,y,y,y,y,y,y,unknown,n,n,n,n,unknown,unknown,y,unknown
144,democrat,unknown,y,n,n,n,n,y,y,y,y,y,n,n,y,y,y
315,republican,n,y,n,y,y,y,y,y,n,n,y,y,y,y,y,y
426,democrat,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,unknown
3,democrat,unknown,y,y,unknown,y,y,n,n,n,n,y,n,y,y,n,n
389,democrat,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,unknown
297,republican,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
134,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
366,democrat,n,y,n,n,y,y,n,n,n,y,y,n,y,y,n,n
344,republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
273,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,unknown
41,democrat,y,y,y,n,n,n,y,y,y,n,unknown,n,n,n,n,unknown
88,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
71,democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,unknown
399,democrat,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
156,republican,y,y,n,y,y,y,n,unknown,n,n,y,y,y,y,n,n
56,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
179,democrat,unknown,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,unknown
192,republican,n,y,n,y,y,y,n,unknown,n,y,n,y,y,y,n,unknown
1,republican,n,y,n,y,y,y,n,n,n,y,unknown,y,y,y,n,y
235,democrat,n,n,y,n,n,y,y,y,y,y,n,y,n,y,y,unknown
424,democrat,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
22,democrat,y,y,y,n,n,n,y,y,y,n,n,n,unknown,unknown,y,y
196,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
173,democrat,n,y,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
190,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
340,republican,y,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
85,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,n
357,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
38,republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
304,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
178,democrat,n,n,y,n,n,n,y,y,y,y,y,unknown,n,n,y,y
175,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
197,democrat,n,n,y,n,n,y,y,y,y,n,y,y,n,y,y,unknown
158,democrat,n,y,y,n,n,y,n,y,y,n,y,n,unknown,unknown,unknown,unknown
421,republican,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
250,democrat,y,n,y,n,n,n,y,y,unknown,n,y,n,n,n,y,y
26,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
110,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
34,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
314,republican,n,y,y,y,y,y,n,n,n,y,n,y,y,y,n,y
